id;name;price;seats;model;fuel;origin;other
xe1;Toyota Fortuner Legender 2.8AT 4x4;$61,875 ;7;SUV;Oil;Domestic vehicles;6-speed automatic 
xe2;Toyota Corolla Altis 1.8G CVT;$32,957 ;5;Sedan;Gasoline;Domestic vehicles;Automatic
xe3;Toyota Land Cruiser;$173,619 ;7;SUV;Gasoline;Imported cars;6-speed automatic 
xe4;Toyota Land Cruiser Prado;$102,446 ;7;SUV;Gasoline;Imported cars;6-speed automatic 
xe5;Toyota Camry;$44,378 ;5;Sedan;Gasoline;Imported cars;6-speed automatic 
xe6;Audi A7;$107,789;5;Sedan;Gasoline;Unknown;7-speed automatic
xe7;Audi A8;$172,953;5;Sedan;Gasoline;Unknown;8-speed automatic
xe8;Audi Q5;$107,912;5;SUV;Gasoline;Imported cars;7-speed automatic
xe9;Audi Q7;$147,802;7;SUV;Gasoline;Imported cars;8-speed automatic
xe10;Audi Q8;$181,538;8;SUV;Gasoline;Imported cars;8-speed automatic
xe11;Mercedes-Benz GLA SUV;$80,228;5;SUV;Gasoline;Imported cars;7-speed automatic
xe12;Mercedes-Benz GLB SUV;$86,271;7;SUV;Gasoline;Imported cars;8-speed automatic
xe13;Mercedes-Benz GLC SUV;$103,286;5;SUV;Gasoline;Imported cars;9-speed automatic
xe14;Mercedes-Benz GLE SUV;$188,401;7;SUV;Gasoline;Imported cars;9-speed automatic
xe15;Mercedes-Benz GLS SUV;$211,890;8;SUV;Gasoline;Imported cars;9-speed automatic
xe16;;;;;;;
xe17;;;;;;;
xe18;;;;;;;
xe19;;;;;;;
xe20;;;;;;;
xe21;;;;;;;
xe22;;;;;;;
xe23;;;;;;;
xe24;;;;;;;
xe25;;;;;;;
